"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"Uganda",1988,3.86648193813733,51.42,352842.135060004,5815672857438.28,NA,NA,1.6,4
"United Kingdom",1988,4.03021880420472,75.23,39192850.7672742,2150542530831720,NA,NA,11,11.4
"United States",1988,5.79017760129596,75.02,54777236.0441842,13392979435566980,NA,NA,12.5,12.8
"Uruguay",1988,3.16510398147667,72.61,10500667.1116578,32217789809306.6,NA,NA,7.5,7.3
"Vietnam",1988,5.13618675610265,68.68,420750.840891406,26617960447313,NA,NA,4.4,6.5
"Zambia",1988,2.32618498689693,53.33,831698.498020016,6147224036292.9,NA,NA,2.6,5
"Zimbabwe",1988,4.95503147380905,64.39,1013978.5370909,9989963958182.64,NA,NA,3.4,5.4
"Albania",1989,5.16567637335278,73.3,2184949.1444294,7113886336432.76,NA,NA,6.3,7.6
"Algeria",1989,1.53555395926921,69.81,3729425.16411388,91997832890877.6,NA,NA,1.8,2.4
"Argentina",1989,1.77556383818821,72.26,11600113.963325,373374874957256,NA,NA,7.8,7.9
"Australia",1989,2.14553092936202,76.4,34399822.0485104,576687773265176,NA,NA,10.1,10.5
"Austria",1989,1.23237184250604,75.43,37066951.6036326,282434121229636,NA,NA,9.1,10.5
"Bahrain",1989,5.09396285330294,71.61,18617096.0303489,8898878817026.64,NA,NA,3.8,5.5
"Bangladesh",1989,1.18605700888616,57.42,542183.424456354,55672276155610,NA,NA,1.3,3.6
"Belgium",1989,2.39242325008156,75.59,36444442.1389682,362175131578544,NA,NA,9.5,10.1
"Belize",1989,1.19785207444408,71.54,4619479.27299956,846616703998.318,NA,NA,6.1,6.6
"Benin",1989,1.8988224505206,55.42,591227.493695232,2735724311461.62,NA,NA,0.6,2
"Bolivia",1989,2.16639393314508,60.98,1703645.25382013,11088033731932.3,NA,NA,3.8,5.8
"Botswana",1989,3.33142889330576,62.69,4508502.41802842,6048117726984.7,NA,NA,2.8,2.8
"Brazil",1989,2.51412544936174,67.47,7129272.37807146,1048635242063174,NA,NA,4.2,4.4
"Brunei",1989,6.23437304161469,73.54,38818662.8346556,9514920084728.08,NA,NA,NA,NA
"Bulgaria",1989,4.29518518319207,71.55,3611424.7305283,32050641039485.2,NA,NA,9.4,9.8
"Burkina Faso",1989,2.10931477331055,51.42,344855.622655416,3130127235118.44,NA,NA,0.3,0.8
"Burundi",1989,3.39475962272905,46.1,360222.568714624,1969485555083.73,NA,NA,0.8,2.1
"Cameroon",1989,1.37200762489094,58.22,1458733.99155498,18728851565891,NA,NA,1.8,3.9
"Canada",1989,1.93469032791671,77.09,39635986.8312488,1085193683452760,NA,NA,12.1,12.2
"Chile",1989,4.07792344220025,72.79,6022355.9287498,78026173380204,NA,NA,7.7,8
"China",1989,2.58940814368861,66.56,765784.310659796,856644619119580,NA,NA,3.2,5.3
"Colombia",1989,2.22784611969364,71.32,4471733.06206766,145588543074662,NA,NA,4.7,5.2
"Cote d'Ivoire",1989,1.33003716608526,55.46,1386615.65982001,16778989166369.7,NA,NA,0.8,2.4
"Cuba",1989,6.53027153980489,74.67,6943921.30247432,72728555489646.6,NA,NA,7.7,8.2
"Cyprus",1989,5.36805852482005,76.64,20319132.308,11534643113560.1,NA,NA,8.3,9.8
"Denmark",1989,1.98409295145479,75.1,47510472.5517252,243851966356150,NA,NA,10.9,11.4
"Djibouti",1989,7.59690316080839,60.72,NA,NA,NA,NA,0.6,3.1
"Dominican Republic",1989,0.799660361118172,71.2,3994984.31285918,28166556998127.4,NA,NA,NA,NA
"Ecuador",1989,1.9846686301487,70.64,2589479.2102536,25964990294446.6,NA,NA,5.4,6.1
"Egypt",1989,5.07871331815077,64.76,2229026.40820452,124083478319664,NA,NA,2.6,5.2
"El Salvador",1989,5.47886947816985,66.55,3037623.03102954,15973808502615.6,NA,NA,4.2,5
"Ethiopia",1989,6.8629722999468,44.82,257433.294095992,12136473557487.6,NA,NA,0.3,1.1
"Fiji",1989,2.45684979413195,64.88,3484444.94731272,2524145857613.12,NA,NA,6.2,7.4
"Finland",1989,1.51261700537424,75.07,39817915.449023,197670904735581,NA,NA,9.7,9.9
"France",1989,3.50728948733089,76.91,36692583.0857906,2127457028856840,NA,NA,8.1,8.4
"Gambia",1989,0.960712826862907,60.81,1178926.91294759,1099211752196.95,NA,NA,0.7,1.9
"Germany",1989,2.4820817684467,75.51,37566910.0530924,2958442365026620,NA,NA,9.4,10.6
"Ghana",1989,0.423365832993063,57.47,439815.201636718,6323283076273.7,NA,NA,2.7,5.4
