"country","year","militaryexpenditures","lifeExp","GDPpercap","lit","HIV","HC"
"Denmark",1990,1.95075703504915,75.1,48195815.8359922,NA,"0.06",NA
"Djibouti",1990,6.87911907469007,61,2347653.07334192,NA,"0.9",NA
"Dominican Republic",1990,0.67655858211558,71.8,3701390.02562366,NA,"0.4",NA
"Ecuador",1990,1.95150235477471,71.2,2598422.40897738,88.2987629813343,"0.3",NA
"Egypt",1990,4.66414323552887,65.2,2307369.02699694,NA,"0.06",NA
"El Salvador",1990,4.19815907806709,67.7,3140093.05917964,NA,"0.1",NA
"Ethiopia",1990,6.4971583362973,45.2,255776.254827298,NA,NA,NA
"Fiji",1990,2.28282828282828,65.1,3666368.72740522,NA,"0.06",NA
"Finland",1990,1.54171704957678,75.1,39842046.3230154,NA,"0.06",NA
"France",1990,3.42328306934533,77.2,37463324.043975,NA,"0.3",NA
"Gambia",1990,1.09274310727428,61.3,1172594.10524819,NA,"0.1",NA
"Germany",1990,2.46836224058457,75.4,39201686.3831594,NA,"0.1",NA
"Ghana",1990,0.468556879596506,58,442143.339105778,NA,"0.3",NA
"Greece",1990,3.42204792444125,77,19436199.6752877,NA,"0.1",NA
"Guatemala",1990,1.47157678435453,64.6,2888618.47463188,NA,"0.1",NA
"Guyana",1990,0.90647944603461,64.2,1219828.8441808,NA,"2.8",NA
"Hungary",1990,2.79321480314343,69.5,8717408.64805894,NA,"0.1",NA
"India",1990,3.13879409144004,58.2,632857.155751364,NA,"0.1",NA
"Indonesia",1990,0.869271185760232,64,1184192.14065807,81.5198524304659,"0.06",NA
"Iran",1990,2.05012548820777,66,2562165.62216602,NA,"0.06",NA
"Ireland",1990,1.26156617978211,76.3,28148887.1723426,NA,"0.06",NA
"Israel",1990,12.8950876924895,76.7,30565375.6851196,NA,"0.06",NA
"Italy",1990,2.06230250473095,77,33199840.178969,NA,"0.3",NA
"Jamaica",1990,0.597140918478575,74.8,6318725.13351792,NA,"2.1",NA
"Japan",1990,0.912120845637896,79,68473428.5292836,NA,"0.06",NA
"Jordan",1990,8.02008769628602,71.5,3235760.6645867,NA,NA,NA
"Kenya",1990,2.87527170121244,61.8,900343.642544028,NA,"3.9",NA
"South Korea",1990,3.8330758666201,71.8,13790934.1116176,NA,"0.06",NA
"Kuwait",1990,48.7074163400663,77.2,NA,NA,NA,NA
"Lebanon",1990,7.5519515489067,69.3,6133458.6324481,NA,"0.06",NA
"Lesotho",1990,5.10364264256551,60.5,615383.759707284,NA,"0.8",NA
"Liberia",1990,3.69406867845994,48.6,384029.084927988,NA,"0.3",NA
"Luxembourg",1990,0.763130063130124,75.2,64947972.1045928,NA,"0.1",NA
"Madagascar",1990,1.22714502872862,56,578988.216963162,NA,"0.2",NA
"Malawi",1990,1.29178387361422,48.8,265011.070370168,NA,"7.2",NA
"Malaysia",1990,2.55540344426745,71.8,5185034.10559486,NA,"0.1",NA
"Mali",1990,2.15412616005279,50,375916.374965878,NA,"0.4",NA
"Malta",1990,0.830370078496562,77.1,13329288.917431,NA,"0.06",NA
"Mauritania",1990,3.89346507739368,59.5,974614.078601936,NA,"0.2",NA
"Mauritius",1990,0.3473630831643,69.3,5149486.97013484,79.8686597254603,"0.06",NA
"Mexico",1990,0.505212146362122,71.5,9805289.98146086,87.5561521067376,"0.4",NA
"Mongolia",1990,4.62358102494246,62.3,1039675.93770088,NA,"0.06",NA
"Morocco",1990,4.14287540080217,67.7,2344791.2246,NA,"0.06",NA
"Mozambique",1990,3.36764837116298,51.5,368939.458366486,NA,"1.2",NA
"Myanmar",1990,3.42237204606513,57.6,NA,NA,"0.2",NA
"Namibia",1990,8.43611248149975,61.7,3662117.85682858,NA,"1.6",NA
"Nepal",1990,1.07720275392589,58.4,353852.81226945,NA,"0.2",NA
"Netherlands",1990,2.51670415182309,77,37716002.4702004,NA,"0.1",NA
"New Zealand",1990,1.79137776185443,75.6,23254213.0449562,NA,"0.1",NA
"Nigeria",1990,0.844085835855999,54.1,717107.480877076,NA,"1.3",NA
"Norway",1990,2.88623081425907,76.6,55153749.3464972,NA,"0.06",NA
"Oman",1990,16.5149458033787,72.1,13546309.0342034,NA,"0.06",NA
"Pakistan",1990,6.84625011169043,62.1,898549.183215122,NA,"0.06",NA
"Panama",1990,1.37581871565158,74.9,5870955.14518702,88.7798585140717,"0.2",NA
"Papua New Guinea",1990,2.13250113776738,56,1133741.47361941,NA,"0.06",NA
"Paraguay",1990,1.18621030520203,74.2,2793485.74996074,NA,"0.06",NA
"Peru",1990,0.082675983561242,68.7,3328496.6211959,NA,"0.4",NA
"Philippines",1990,2.14725264728189,67.6,1982800.66998201,93.5738955208562,"0.06",NA
"Poland",1990,2.38739316974765,70.9,6201413.70080006,NA,"0.06",NA
"Portugal",1990,2.41368626629045,74.2,17543855.2398325,NA,"0.1",NA
"Romania",1990,4.54598438046392,70,3791906.72845218,NA,"0.06",NA
"Russia",1990,19.0934492393667,69.2,5204492.73204578,NA,"0.06",NA
"Rwanda",1990,3.74775734200654,50.5,469758.92496678,NA,"5.2",NA
